id,lastUpdateTime,name,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,total_confirm,total_suspect,total_heal,total_dead,total_severe
C202006211504251,2021-10-31 09:39:57,境外输入,9,,,,,,2345,0,2290,0,0
310100,2021-10-31 00:04:47,外地来沪,0,,,,,,113,0,112,1,0
C202006211504253,2021-10-31 00:04:48,浦东,0,,,,,,77,0,76,1,0
310113,2021-10-31 00:04:48,宝山,0,,,,,,26,0,25,1,0
310101,2021-10-31 00:04:47,黄浦,0,,,,,,22,0,22,0,0
310112,2021-10-31 00:04:48,闵行,0,,,,,,19,0,19,0,0
310104,2021-10-31 00:04:47,徐汇,0,,,,,,18,0,17,1,0
310117,2021-10-31 00:04:48,松江,0,,,,,,16,0,16,0,0
310106,2021-10-31 00:04:47,静安,0,,,,,,16,0,15,1,0
310105,2021-10-31 00:04:47,长宁,0,,,,,,14,0,14,0,0
310107,2021-10-31 00:04:48,普陀,0,,,,,,11,0,11,0,0
310120,2021-10-31 00:04:48,奉贤,0,,,,,,9,0,9,0,0
310114,2021-10-31 00:04:47,嘉定,0,,,,,,9,0,7,2,0
310110,2021-10-31 00:04:47,杨浦,0,,,,,,9,0,9,0,0
310109,2021-10-31 00:04:48,虹口,0,,,,,,7,0,7,0,0
310118,2021-10-31 00:04:48,青浦,0,,,,,,6,0,6,0,0
310116,2021-10-31 00:04:48,金山,0,,,,,,4,0,4,0,0
310130,2021-10-31 00:04:48,崇明,0,,,,,,4,0,4,0,0
C202006300803441,2021-10-31 00:04:47,境外来沪,0,,,,,,1,0,1,0,0
C202101211446591,2021-02-22 00:00:36,待确认,0,,,,,,0,0,2,0,0
923100,2021-10-31 00:04:47,未明确地区,0,,,,,,0,0,0,0,0
9512312,2020-08-14 13:15:23,境外输入人员,0,,0.0,0.0,,,0,0,0,0,0
310115,2020-08-14 13:15:23,浦东新区,0,,0.0,0.0,,,0,0,0,0,0
310108,2020-08-14 13:15:23,闸北,0,,0.0,0.0,,,0,0,0,0,0
