id,lastUpdateTime,name,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,total_confirm,total_suspect,total_heal,total_dead,total_severe
C202006211334191,2021-10-31 07:44:54,境外输入,0,,,,,,1164,0,1078,0,0
C202006211334182,2021-10-31 09:39:56,德宏州,2,,,,,,230,0,225,0,0
530100,2021-10-31 00:04:47,昆明,0,,,,,,53,0,53,0,0
C202006211334186,2021-10-31 00:04:48,昭通市,0,,,,,,25,0,25,0,0
C202006211334189,2021-10-31 00:04:48,西双版纳州,0,,,,,,15,0,14,1,0
530400,2021-10-31 00:04:48,玉溪,0,,,,,,14,0,13,1,0
532900,2021-10-31 00:04:48,大理,0,,,,,,13,0,13,0,0
530300,2021-10-31 00:04:47,曲靖,0,,,,,,13,0,13,0,0
532500,2021-10-31 00:04:47,红河,0,,,,,,9,0,9,0,0
C202006211334188,2021-10-31 00:04:48,保山市,0,,,,,,9,0,9,0,0
C202006211334187,2021-10-31 00:04:48,丽江市,0,,,,,,7,0,7,0,0
530800,2021-10-31 00:04:48,普洱,0,,,,,,4,0,4,0,0
C202006211334181,2021-10-31 00:04:47,楚雄州,0,,,,,,4,0,4,0,0
532600,2021-10-31 00:04:48,文山州,0,,,,,,2,0,2,0,0
530900,2021-10-31 00:04:47,临沧,0,,,,,,1,0,1,0,0
530700,2020-07-22 07:48:12,丽江,0,,0.0,0.0,,,0,0,0,0,0
533100,2020-07-22 07:48:12,德宏,0,,0.0,0.0,,,0,0,0,0,0
C202109150726041,2021-10-31 00:04:48,未明确地区,0,,,,,,0,0,0,0,0
532300,2020-07-22 07:48:12,楚雄,0,,0.0,0.0,,,0,0,0,0,0
533400,2020-07-22 07:48:12,迪庆藏族自治州,0,,0.0,0.0,,,0,0,0,0,0
530500,2020-07-22 07:48:12,保山,0,,0.0,0.0,,,0,0,0,0,0
9548712,2020-07-22 07:48:12,境外输入人员,0,,0.0,0.0,,,0,0,0,0,0
533300,2020-07-22 07:48:12,怒江傈僳族自治州,0,,0.0,0.0,,,0,0,0,0,0
532800,2020-07-22 07:48:12,西双版纳,0,,0.0,0.0,,,0,0,0,0,0
530600,2020-07-22 07:48:12,昭通,0,,0.0,0.0,,,0,0,0,0,0
