id,lastUpdateTime,name,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,total_confirm,total_suspect,total_heal,total_dead,total_severe
C202006211449312,2021-10-31 11:19:58,境外输入,2,,,,,,320,0,312,0,0
152900,2021-10-31 17:45:05,阿拉善盟,13,,,,,,146,0,5,0,0
150700,2021-10-31 00:04:48,呼伦贝尔,0,,,,,,38,0,38,0,0
C202006211449315,2021-10-31 17:45:06,锡林郭勒,0,,,,,,27,0,12,0,0
150600,2021-10-31 00:04:48,鄂尔多斯,0,,,,,,12,0,11,0,0
150200,2021-10-31 00:04:48,包头,0,,,,,,11,0,11,0,0
150100,2021-10-31 00:04:47,呼和浩特,0,,,,,,10,0,7,0,0
150400,2021-10-31 00:04:47,赤峰,0,,,,,,9,0,9,0,0
150800,2021-10-31 00:04:48,巴彦淖尔,0,,,,,,8,0,7,1,0
150500,2021-10-31 00:04:48,通辽,0,,,,,,7,0,7,0,0
150900,2021-10-31 00:04:48,乌兰察布,0,,,,,,3,0,3,0,0
150300,2021-10-31 00:04:47,乌海,0,,,,,,2,0,2,0,0
152500,2021-10-15 00:00:32,锡林郭勒盟,1,,,,,,1,0,0,0,0
152200,2021-10-31 00:04:47,兴安盟,0,,,,,,1,0,1,0,0
95214657,2020-06-21 14:58:36,境外输入人员,0,0.0,0.0,0.0,0.0,,0,0,0,0,0
921500,2020-06-21 14:58:44,未明确地区,0,0.0,0.0,0.0,0.0,,0,0,0,0,0
