id,lastUpdateTime,name,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,total_confirm,total_suspect,total_heal,total_dead,total_severe
220500,2021-10-31 00:04:47,通化,0.0,,,,,,313,0,312,1,0
220100,2021-10-31 00:04:48,长春,0.0,,,,,,150,0,150,0,0
C202101190804041,2021-01-20 00:00:36,长春市,,,,,,,70,0,45,0,0
C202101190804031,2021-01-20 00:00:36,通化市,,,,,,,64,0,6,0,0
220200,2021-10-31 00:04:48,吉林,0.0,,,,,,48,0,47,1,0
922200,2021-01-21 00:00:30,未明确地区,46.0,,,,,,46,0,0,0,0
C202006211449311,2021-10-31 00:04:47,境外输入,0.0,,,,,,23,0,20,0,0
220300,2021-10-31 00:04:47,四平,0.0,,,,,,17,0,16,1,0
220400,2021-10-31 00:04:47,辽源,0.0,,,,,,7,0,7,0,0
220700,2021-10-31 00:04:48,松原,0.0,,,,,,6,0,6,0,0
95222,2021-10-31 00:04:47,公主岭,0.0,,,,,,6,0,6,0,0
222400,2021-10-31 00:04:48,延边,0.0,,,,,,5,0,5,0,0
220800,2021-10-31 00:04:47,白城,0.0,,,,,,1,0,1,0,0
C202006211449314,2021-10-31 00:04:48,梅河口市,0.0,,,,,,1,0,1,0,0
220600,2020-06-21 15:00:48,白山,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0
9583245,2020-06-21 15:00:30,梅河口,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0
9536,2020-06-21 15:00:24,境外输入人员,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0
