id,lastUpdateTime,name,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,total_confirm,total_suspect,total_heal,total_dead,total_severe
C2020062113241412,2021-10-31 00:04:47,境外输入,0,,,,,,659,0,650,0,0
510100,2021-10-31 00:04:47,成都,0,,,,,,163,0,160,3,0
C2020062113241416,2021-10-31 00:04:48,甘孜,0,,,,,,78,0,78,0,0
511700,2021-10-31 00:04:48,达州,0,,,,,,42,0,42,0,0
511300,2021-10-31 00:04:47,南充,0,,,,,,39,0,39,0,0
511600,2021-10-31 00:04:47,广安,0,,,,,,30,0,30,0,0
510500,2021-10-31 00:04:47,泸州,0,,,,,,25,0,25,0,0
511900,2021-10-31 00:04:48,巴中,0,,,,,,24,0,24,0,0
510700,2021-10-31 00:04:48,绵阳,0,,,,,,23,0,23,0,0
511000,2021-10-31 00:04:47,内江,0,,,,,,22,0,22,0,0
510600,2021-10-31 00:04:48,德阳,0,,,,,,18,0,18,0,0
510900,2021-10-31 00:04:47,遂宁,0,,,,,,17,0,17,0,0
510400,2021-10-31 00:04:47,攀枝花,0,,,,,,16,0,16,0,0
513400,2021-10-31 00:04:47,凉山,0,,,,,,13,0,13,0,0
511500,2021-10-31 00:04:47,宜宾,0,,,,,,13,0,12,0,0
510300,2021-10-31 00:04:47,自贡,0,,,,,,10,0,9,0,0
511800,2021-10-31 00:04:48,雅安,0,,,,,,8,0,8,0,0
511400,2021-10-31 00:04:47,眉山,0,,,,,,8,0,8,0,0
510800,2021-10-31 00:04:48,广元,0,,,,,,6,0,6,0,0
512000,2021-10-31 00:04:48,资阳,0,,,,,,4,0,4,0,0
511100,2021-10-31 00:04:47,乐山,0,,,,,,3,0,3,0,0
C202006211324145,2021-10-31 00:04:47,阿坝,0,,,,,,1,0,1,0,0
513300,2020-06-21 13:32:52,甘孜州,0,0.0,0.0,0.0,0.0,,0,0,0,0,0
513200,2020-06-21 13:32:57,阿坝州,0,0.0,0.0,0.0,0.0,,0,0,0,0,0
925100,2021-10-31 00:04:48,未明确地区,0,,,,,,0,0,0,0,0
9545,2020-06-21 13:33:11,境外输入人员,0,0.0,0.0,0.0,0.0,,0,0,0,0,0
