id,lastUpdateTime,name,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,total_confirm,total_suspect,total_heal,total_dead,total_severe
C202006211229062,2021-10-31 11:34:58,境外输入,1,,,,,,357,0,344,0,0
C202012112153451,2020-12-12 00:00:37,天津本土,0,,,,,,147,0,140,0,0
C202006211229079,2021-10-31 00:04:48,宝坻区,0,,,,,,60,0,58,2,0
C202006211229077,2021-10-31 00:04:48,河东区,0,,,,,,15,0,14,1,0
120116,2021-10-31 00:04:47,滨海新区,0,,,,,,13,0,13,0,0
C202006211229063,2021-10-31 00:04:47,河北区,0,,,,,,12,0,12,0,0
C202006211229064,2021-10-31 00:04:47,北辰区,0,,,,,,7,0,7,0,0
120100,2021-10-31 00:04:47,外地来津,0,,,,,,6,0,6,0,0
C202006211229071,2021-10-31 00:04:47,南开区,0,,,,,,6,0,6,0,0
C202006211229076,2021-10-31 00:04:48,和平区,0,,,,,,6,0,6,0,0
C202006211229075,2021-10-31 00:04:47,河西区,0,,,,,,4,0,4,0,0
C2020062112290713,2021-10-31 00:04:48,东丽区,0,,,,,,4,0,4,0,0
C2020062112290710,2021-10-31 00:04:48,西青区,0,,,,,,4,0,4,0,0
120221,2021-10-31 00:04:47,宁河区,0,,,,,,4,0,4,0,0
C202006211229061,2021-10-31 00:04:47,津南区,0,,,,,,2,0,2,0,0
C202006211229072,2021-10-31 00:04:47,红桥区,0,,,,,,2,0,2,0,0
C202006211229078,2021-10-31 00:04:48,武清区,0,,,,,,2,0,2,0,0
120102,2020-09-13 08:23:57,河东,0,,0.0,0.0,,,0,0,0,0,0
120103,2020-09-13 08:23:57,河西,0,,0.0,0.0,,,0,0,0,0,0
120104,2020-09-13 08:23:57,南开,0,,0.0,0.0,,,0,0,0,0,0
120105,2020-09-13 08:23:57,河北,0,,0.0,0.0,,,0,0,0,0,0
120101,2020-09-13 08:23:57,和平,0,,0.0,0.0,,,0,0,0,0,0
120106,2020-09-13 08:23:57,红桥,0,,0.0,0.0,,,0,0,0,0,0
120113,2020-09-13 08:23:57,北辰,0,,0.0,0.0,,,0,0,0,0,0
120114,2020-09-13 08:23:57,武清,0,,0.0,0.0,,,0,0,0,0,0
120115,2020-09-13 08:23:57,宝坻,0,,0.0,0.0,,,0,0,0,0,0
120110,2020-09-13 08:23:57,东丽,0,,0.0,0.0,,,0,0,0,0,0
120111,2020-09-13 08:23:57,西青,0,,0.0,0.0,,,0,0,0,0,0
120112,2020-09-13 08:23:57,津南,0,,0.0,0.0,,,0,0,0,0,0
951111201,2020-09-13 08:23:57,境外输入人员,0,,0.0,0.0,,,0,0,0,0,0
120223,2020-09-13 08:23:57,静海县,0,,0.0,0.0,,,0,0,0,0,0
120225,2020-09-13 08:23:57,蓟县,0,,0.0,0.0,,,0,0,0,0,0
94333,2020-09-13 08:23:57,未明确地区,0,,0.0,0.0,,,0,0,0,0,0
