id,lastUpdateTime,name,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,total_confirm,total_suspect,total_heal,total_dead,total_severe
340100,2021-10-31 00:04:47,合肥,0,,,,,,176,0,175,1,0
340300,2021-10-31 00:04:47,蚌埠,0,,,,,,160,0,155,5,0
341200,2021-10-31 00:04:47,阜阳,0,,,,,,156,0,156,0,0
341600,2021-10-31 00:04:47,亳州,0,,,,,,108,0,108,0,0
340800,2021-10-31 00:04:48,安庆,0,,,,,,83,0,83,0,0
341500,2021-10-31 00:04:48,六安,0,,,,,,77,0,77,0,0
341300,2021-10-31 00:04:47,宿州,0,,,,,,41,0,41,0,0
340500,2021-10-31 00:04:48,马鞍山,0,,,,,,38,0,38,0,0
340200,2021-10-31 00:04:47,芜湖,0,,,,,,34,0,34,0,0
340700,2021-10-31 00:04:48,铜陵,0,,,,,,29,0,29,0,0
340400,2021-10-31 00:04:47,淮南,0,,,,,,27,0,27,0,0
340600,2021-10-31 00:04:47,淮北,0,,,,,,27,0,27,0,0
341700,2021-10-31 00:04:47,池州,0,,,,,,17,0,17,0,0
341100,2021-10-31 00:04:47,滁州,0,,,,,,13,0,13,0,0
341000,2021-10-31 00:04:47,黄山,0,,,,,,9,0,9,0,0
C202006211209101,2021-10-31 00:04:47,境外输入,0,,,,,,7,0,7,0,0
341800,2021-10-31 00:04:48,宣城,0,,,,,,6,0,6,0,0
95231,2020-06-21 12:13:00,境外输入人员,0,0.0,0.0,0.0,0.0,,0,0,0,0,0
923400,2020-06-20 11:30:04,未明确地区,0,,0.0,0.0,,,0,0,0,0,0
