id,lastUpdateTime,name,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,total_confirm,total_suspect,total_heal,total_dead,total_severe
370800,2021-10-31 00:04:47,济宁,0,,,,,,260,0,260,0,0
C202006211209103,2021-10-31 09:39:57,境外输入,1,,,,,,180,0,158,0,0
370200,2021-10-31 00:04:48,青岛,0,,,,,,80,0,79,1,0
370600,2021-10-31 00:04:48,烟台,0,,,,,,58,0,58,0,0
371300,2021-10-31 00:04:47,临沂,0,,,,,,49,0,49,0,0
370100,2021-10-31 00:04:47,济南,0,,,,,,47,0,47,0,0
370700,2021-10-31 00:04:47,潍坊,0,,,,,,44,0,44,0,0
371500,2021-10-31 00:04:47,聊城,0,,,,,,38,0,38,0,0
371000,2021-10-31 00:04:48,威海,0,,,,,,38,0,37,1,0
371400,2021-10-31 00:04:47,德州,0,,,,,,37,0,35,2,0
370900,2021-10-31 00:04:47,泰安,0,,,,,,35,0,33,2,0
370300,2021-10-31 00:04:47,淄博,0,,,,,,30,0,29,1,0
371100,2021-10-31 09:39:57,日照,3,,,,,,25,0,16,0,0
370400,2021-10-31 00:04:48,枣庄,0,,,,,,24,0,24,0,0
371700,2021-10-31 00:04:48,菏泽,0,,,,,,18,0,18,0,0
371600,2021-10-31 00:04:48,滨州,0,,,,,,15,0,15,0,0
370500,2020-06-21 12:16:32,东营,0,0.0,0.0,0.0,0.0,,0,0,0,0,0
950033,2020-06-21 12:16:39,任城监狱,0,0.0,0.0,0.0,0.0,,0,0,0,0,0
923700,2020-06-21 12:16:26,未明确地区,0,0.0,0.0,0.0,0.0,,0,0,0,0,0
95477,2020-06-21 12:16:13,境外输入人员,0,0.0,0.0,0.0,0.0,,0,0,0,0,0
371200,2020-06-21 12:16:46,莱芜,0,0.0,0.0,0.0,0.0,,0,0,0,0,0
