id,lastUpdateTime,name,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,total_confirm,total_suspect,total_heal,total_dead,total_severe
C202006211424031,2021-10-31 00:04:48,境外输入,0,,,,,,122,0,122,0,0
140700,2021-10-31 00:04:47,晋中,0,,,,,,41,0,41,0,0
140100,2021-10-31 00:04:48,太原,0,,,,,,21,0,21,0,0
140800,2021-10-31 00:04:47,运城,0,,,,,,19,0,19,0,0
140200,2021-10-31 00:04:48,大同,0,,,,,,12,0,12,0,0
140500,2021-10-31 00:04:47,晋城,0,,,,,,10,0,10,0,0
140400,2021-10-31 00:04:47,长治,0,,,,,,8,0,8,0,0
140600,2021-10-31 00:04:47,朔州,0,,,,,,8,0,8,0,0
140900,2021-10-31 00:04:47,忻州,0,,,,,,7,0,7,0,0
141100,2021-10-31 00:04:47,吕梁,0,,,,,,6,0,6,0,0
140300,2021-10-31 00:04:47,阳泉,0,,,,,,4,0,4,0,0
141000,2021-10-31 00:04:47,临汾,0,,,,,,2,0,2,0,0
921400,2021-02-18 00:00:30,未明确地区,0,,,,,,0,0,2,0,0
9599,2020-06-21 14:44:27,境外输入人员,0,0.0,0.0,0.0,0.0,,0,0,0,0,0
