id,lastUpdateTime,name,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,total_confirm,total_suspect,total_heal,total_dead,total_severe
C202006211224112,2021-10-31 09:39:58,境外输入,1,,,,,,1657,0,1622,0,0
440100,2021-10-31 00:04:48,广州,0,,,,,,523,0,522,1,0
440300,2021-10-31 00:04:48,深圳,0,,,,,,431,0,428,3,0
441900,2021-10-31 00:04:47,东莞,0,,,,,,102,0,101,1,0
440600,2021-10-31 00:04:47,佛山,0,,,,,,101,0,101,0,0
440400,2021-10-31 00:04:48,珠海,0,,,,,,98,0,97,1,0
442000,2021-10-31 00:04:47,中山,0,,,,,,68,0,67,0,0
441300,2021-10-31 00:04:47,惠州,0,,,,,,62,0,62,0,0
440500,2021-10-31 00:04:48,汕头,0,,,,,,25,0,25,0,0
440800,2021-10-31 00:04:47,湛江,0,,,,,,23,0,23,0,0
440700,2021-10-31 00:04:47,江门,0,,,,,,23,0,23,0,0
441200,2021-10-31 00:04:47,肇庆,0,,,,,,19,0,18,1,0
441400,2021-10-31 00:04:48,梅州,0,,,,,,16,0,16,0,0
441700,2021-10-31 00:04:47,阳江,0,,,,,,14,0,14,0,0
440900,2021-10-31 00:04:47,茂名,0,,,,,,14,0,14,0,0
441800,2021-10-31 00:04:48,清远,0,,,,,,12,0,12,0,0
440200,2021-10-31 00:04:47,韶关,0,,,,,,10,0,9,1,0
445200,2021-10-31 00:04:47,揭阳,0,,,,,,10,0,10,0,0
441500,2021-10-31 00:04:47,汕尾,0,,,,,,6,0,6,0,0
441600,2021-10-31 00:04:47,河源,0,,,,,,5,0,5,0,0
445100,2021-10-31 00:04:47,潮州,0,,,,,,5,0,5,0,0
445300,2020-09-13 08:25:22,云浮,0,,0.0,0.0,,,0,0,0,0,0
924400,2021-10-31 00:04:48,未明确地区,0,,,,,,0,0,0,0,0
9532564,2020-09-13 08:25:22,境外输入人员,0,,0.0,0.0,,,0,0,0,0,0
