id,lastUpdateTime,name,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,total_confirm,total_suspect,total_heal,total_dead,total_severe
C202006211229073,2021-10-31 12:00:00,境外输入,3,,,,,,85,0,51,0,0
450100,2021-10-31 00:04:48,南宁,0,,,,,,56,0,56,0,0
450500,2021-10-31 00:04:47,北海,0,,,,,,44,0,43,1,0
450300,2021-10-31 00:04:48,桂林,0,,,,,,32,0,32,0,0
451200,2021-10-31 00:04:48,河池,0,,,,,,28,0,27,1,0
450200,2021-10-31 00:04:47,柳州,0,,,,,,24,0,24,0,0
450600,2021-10-31 00:04:48,防城港,0,,,,,,19,0,19,0,0
450900,2021-10-31 00:04:47,玉林,0,,,,,,11,0,11,0,0
451300,2021-10-31 00:04:47,来宾,0,,,,,,11,0,11,0,0
450800,2021-10-31 00:04:48,贵港,0,,,,,,8,0,8,0,0
450700,2021-10-31 00:04:48,钦州,0,,,,,,8,0,8,0,0
450400,2021-10-31 00:04:48,梧州,0,,,,,,5,0,5,0,0
451100,2021-10-31 00:04:47,贺州,0,,,,,,4,0,4,0,0
451000,2021-10-31 00:04:47,百色,0,,,,,,3,0,3,0,0
95959595,2020-09-13 08:26:19,境外输入人员,0,0.0,0.0,0.0,0.0,,1,0,0,0,0
924500,2020-09-13 08:26:11,未明确地区,0,,0.0,0.0,,,0,0,0,0,0
451400,2020-09-13 08:26:11,崇左,0,,0.0,0.0,,,0,0,0,0,0
