id,lastUpdateTime,name,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,total_confirm,total_suspect,total_heal,total_dead,total_severe
650100,2021-10-31 00:04:48,乌鲁木齐,0,,,,,,845,0,845,0,0
653100,2021-10-31 00:04:47,喀什,0,,,,,,80,0,80,0,0
654000,2021-10-31 00:04:48,伊犁州,0,,,,,,19,0,19,0,0
95908,2021-10-31 00:04:47,兵团第四师,0,,,,,,10,0,9,1,0
652300,2021-10-31 00:04:47,昌吉州,0,,,,,,5,0,5,0,0
C202006211404164,2021-10-31 00:04:48,第八师石河子,0,,,,,,4,0,3,1,0
926500,2021-10-31 00:04:48,兵团第九师,0,,,,,,4,0,3,1,0
652100,2021-10-31 00:04:47,吐鲁番,0,,,,,,3,0,3,0,0
95999,2021-10-31 00:04:48,兵团第十二师,0,,,,,,3,0,3,0,0
652800,2021-10-31 00:04:48,巴州,0,,,,,,3,0,3,0,0
C202006211404163,2021-10-31 00:04:47,六师五家渠,0,,,,,,2,0,2,0,0
652900,2021-10-31 00:04:47,阿克苏,0,,,,,,1,0,1,0,0
C202006211404162,2021-10-31 00:04:47,第七师,0,,,,,,1,0,1,0,0
953455,2021-10-31 00:04:48,未明确地区,0,,,,,,1,0,1,0,0
654700,2020-08-20 00:00:31,兵团第六师五家渠市,0,,0.0,0.0,,,0,0,0,0,0
654500,2020-08-20 00:00:31,阿拉尔,0,,0.0,0.0,,,0,0,0,0,0
654300,2020-08-20 00:00:31,阿勒泰,0,,0.0,0.0,,,0,0,0,0,0
653200,2020-08-20 00:00:31,和田,0,,0.0,0.0,,,0,0,0,0,0
652700,2020-08-20 00:00:31,博尔塔拉蒙古自治州,0,,0.0,0.0,,,0,0,0,0,0
654200,2020-08-20 00:00:31,塔城,0,,0.0,0.0,,,0,0,0,0,0
652200,2020-08-20 00:00:31,哈密,0,,0.0,0.0,,,0,0,0,0,0
654600,2020-08-20 00:00:31,图木舒克,0,,0.0,0.0,,,0,0,0,0,0
654400,2020-08-20 00:00:31,兵团第八师石河子市,0,,0.0,0.0,,,0,0,0,0,0
95288,2020-08-20 00:00:32,兵团第七师,0,,0.0,0.0,,,0,0,0,0,0
650200,2020-08-20 00:00:31,克拉玛依,0,,0.0,0.0,,,0,0,0,0,0
653000,2020-08-20 00:00:31,克孜勒苏柯尔克孜自治州,0,,0.0,0.0,,,0,0,0,0,0
