id,lastUpdateTime,name,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,total_confirm,total_suspect,total_heal,total_dead,total_severe
321000,2021-10-31 00:04:48,扬州,0,,,,,,593,0,593,0,0
320100,2021-10-31 00:04:47,南京,0,,,,,,329,0,329,0,0
C202006211204151,2021-10-31 00:04:47,境外输入,0,,,,,,148,0,145,0,0
320500,2021-10-31 00:04:48,苏州,0,,,,,,87,0,87,0,0
320300,2021-10-31 00:04:48,徐州,0,,,,,,79,0,79,0,0
320800,2021-10-31 00:04:47,淮安,0,,,,,,78,0,78,0,0
320200,2021-10-31 00:04:47,无锡,0,,,,,,55,0,55,0,0
320400,2021-10-31 00:04:47,常州,0,,,,,,51,0,51,0,0
320700,2021-10-31 00:04:47,连云港,0,,,,,,48,0,48,0,0
320600,2021-10-31 00:04:47,南通,0,,,,,,40,0,40,0,0
321200,2021-10-31 00:04:47,泰州,0,,,,,,37,0,37,0,0
320900,2021-10-31 00:04:47,盐城,0,,,,,,27,0,27,0,0
321300,2021-10-31 00:04:47,宿迁,0,,,,,,16,0,16,0,0
321100,2021-10-31 00:04:47,镇江,0,,,,,,12,0,12,0,0
C202108050940551,2021-08-06 00:00:37,地区未确认,0,,,,,,0,0,6,0,0
95163,2020-06-21 12:05:34,境外输入人员,0,0.0,0.0,0.0,0.0,,0,0,0,0,0
923200,2021-10-31 00:04:47,未明确地区,0,,,,,,0,0,0,0,0
