id,lastUpdateTime,name,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,total_confirm,total_suspect,total_heal,total_dead,total_severe
360100,2021-10-31 00:04:47,南昌,0,,,,,,231,0,231,0,0
360500,2021-10-31 00:04:48,新余,0,,,,,,129,0,129,0,0
361100,2021-10-31 09:39:57,上饶,1,,,,,,124,0,123,0,0
360400,2021-10-31 00:04:47,九江,0,,,,,,116,0,116,0,0
360900,2021-10-31 00:04:47,宜春,0,,,,,,106,0,106,0,0
360700,2021-10-31 00:04:47,赣州,0,,,,,,74,0,73,1,0
361000,2021-10-31 00:04:47,抚州,0,,,,,,72,0,72,0,0
360300,2021-10-31 00:04:48,萍乡,0,,,,,,33,0,33,0,0
360800,2021-10-31 00:04:48,吉安,0,,,,,,22,0,22,0,0
360600,2021-10-31 00:04:47,鹰潭,0,,,,,,18,0,18,0,0
C202006211209104,2021-10-31 00:04:48,境外输入,0,,,,,,6,0,6,0,0
360200,2021-10-31 00:04:47,景德镇,0,,,,,,6,0,6,0,0
953324,2021-10-31 00:04:48,赣江新区,0,,,,,,1,0,1,0,0
95121,2020-06-21 12:13:24,境外输入人员,0,0.0,0.0,0.0,0.0,,0,0,0,0,0
923600,2020-06-21 12:14:44,未明确地区,0,0.0,0.0,0.0,0.0,,0,0,0,0,0
