id,lastUpdateTime,name,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,total_confirm,total_suspect,total_heal,total_dead,total_severe
130100,2021-10-31 16:40:05,石家庄,2,,,,,,901,0,897,1,0
130500,2021-10-31 00:04:47,邢台,0,,,,,,96,0,93,1,0
130200,2021-10-31 00:04:47,唐山,0,,,,,,58,0,57,1,0
130600,2021-10-31 00:04:47,保定,0,,,,,,49,0,49,0,0
130900,2021-10-31 00:04:47,沧州,0,,,,,,49,0,46,3,0
130700,2021-10-31 00:04:48,张家口,0,,,,,,43,0,43,0,0
C202006210929051,2021-10-31 00:04:48,境外输入,0,,,,,,37,0,36,0,0
131000,2021-10-31 00:04:48,廊坊,0,,,,,,33,0,33,0,0
130400,2021-10-31 00:04:47,邯郸,0,,,,,,32,0,32,0,0
C202101060932281,2021-01-07 00:00:36,地市待确认,20,,,,,,20,0,0,0,0
130300,2021-10-31 00:04:47,秦皇岛,0,,,,,,10,0,9,1,0
131100,2021-10-31 00:04:47,衡水,0,,,,,,8,0,8,0,0
130800,2021-10-31 00:04:47,承德,0,,,,,,7,0,7,0,0
921300,2021-10-31 00:04:47,未明确地区,0,,,,,,0,0,0,0,0
C202101231532591,2021-01-24 00:00:36,地区待确诊,0,,,,,,0,0,0,1,0
95123,2020-06-21 09:37:09,境外输入人员,0,0.0,0.0,0.0,0.0,,0,0,0,0,0
C202101091624311,2021-02-07 00:00:36,待确认,0,,,,,,0,0,1,0,0
C202102110816101,2021-02-23 00:00:36,地区待确定,0,,,,,,0,0,15,0,0
