id,lastUpdateTime,name,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,total_confirm,total_suspect,total_heal,total_dead,total_severe
410100,2021-10-31 00:04:47,郑州,0,,,,,,295,0,284,5,0
411500,2021-10-31 00:04:48,信阳,0,,,,,,274,0,272,2,0
411300,2021-10-31 00:04:48,南阳,0,,,,,,156,0,153,3,0
411700,2021-10-31 00:04:47,驻马店,0,,,,,,143,0,139,0,0
C202006211219072,2021-10-31 09:39:57,境外输入,1,,,,,,119,0,102,0,0
411400,2021-10-31 00:04:48,商丘,0,,,,,,107,0,100,3,0
411600,2021-10-31 00:04:47,周口,0,,,,,,76,0,75,1,0
410400,2021-10-31 00:04:48,平顶山,0,,,,,,58,0,57,1,0
410700,2021-10-31 00:04:48,新乡,0,,,,,,57,0,54,3,0
410500,2021-10-31 00:04:47,安阳,0,,,,,,54,0,53,0,0
411000,2021-10-31 00:04:47,许昌,0,,,,,,40,0,38,1,0
411100,2021-10-31 00:04:48,漯河,0,,,,,,36,0,36,0,0
410200,2021-10-31 00:04:47,开封,0,,,,,,33,0,27,0,0
410800,2021-10-31 00:04:48,焦作,0,,,,,,32,0,31,1,0
410300,2021-10-31 00:04:47,洛阳,0,,,,,,31,0,30,1,0
410600,2021-10-31 00:04:48,鹤壁,0,,,,,,19,0,19,0,0
410900,2021-10-31 00:04:47,濮阳,0,,,,,,17,0,17,0,0
411200,2021-10-31 00:04:47,三门峡,0,,,,,,7,0,6,1,0
C202006211219073,2021-10-31 00:04:47,济源示范区,0,,,,,,5,0,5,0,0
419000,2020-09-13 08:24:09,济源,0,,0.0,0.0,,,0,0,0,0,0
95112123,2020-09-13 08:24:10,境外输入人员,0,,0.0,0.0,,,0,0,0,0,0
924100,2021-10-31 00:04:47,未明确地区,0,,,,,,0,0,17,0,0
