id,lastUpdateTime,name,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,total_confirm,total_suspect,total_heal,total_dead,total_severe
330300,2021-10-31 00:04:47,温州,0,,,,,,504,0,503,1,0
C202006211209102,2021-10-31 11:19:58,境外输入,4,,,,,,264,0,221,0,0
330100,2021-10-31 16:25:03,杭州,1,,,,,,182,0,181,0,0
330200,2021-10-31 00:04:48,宁波,0,,,,,,157,0,157,0,0
331000,2021-10-31 00:04:47,台州,0,,,,,,147,0,147,0,0
330700,2021-10-31 00:04:47,金华,0,,,,,,55,0,55,0,0
330400,2021-10-31 00:04:47,嘉兴,0,,,,,,46,0,46,0,0
330600,2021-10-31 00:04:47,绍兴,0,,,,,,42,0,42,0,0
9587765,2021-10-31 00:04:47,省十里丰监狱,0,,,,,,36,0,36,0,0
331100,2021-10-31 00:04:48,丽水,0,,,,,,17,0,17,0,0
330800,2021-10-31 00:04:48,衢州,0,,,,,,14,0,14,0,0
330500,2021-10-31 00:04:48,湖州,0,,,,,,10,0,10,0,0
330900,2021-10-31 00:04:48,舟山,0,,,,,,10,0,10,0,0
953256,2020-09-13 08:23:19,境外输入人员,0,0.0,0.0,0.0,0.0,,3,0,0,0,0
952456,2020-09-13 08:23:28,划归外省,0,,0.0,0.0,,,0,0,0,0,0
923300,2020-09-13 08:23:28,未明确地区,0,,0.0,0.0,,,0,0,0,0,0
