id,lastUpdateTime,name,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,total_confirm,total_suspect,total_heal,total_dead,total_severe
460200,2021-10-31 00:04:47,三亚,0,,,,,,55,0,54,1,0
460100,2021-10-31 00:04:47,海口,0,,,,,,41,0,41,0,0
C202006211229074,2021-10-31 00:04:47,境外输入,0,,,,,,19,0,19,0,0
463200,2021-10-31 00:04:48,儋州,0,,,,,,15,0,14,1,0
463400,2021-10-31 00:04:48,万宁,0,,,,,,13,0,13,0,0
463800,2021-10-31 00:04:48,澄迈县,0,,,,,,9,0,8,1,0
C2020062112290712,2021-10-31 00:04:48,昌江县,0,,,,,,7,0,7,0,0
463100,2021-10-31 00:04:47,琼海,0,,,,,,6,0,5,1,0
463900,2021-10-31 00:04:47,临高县,0,,,,,,6,0,6,0,0
C202006211229065,2021-10-31 00:04:47,陵水县,0,,,,,,4,0,4,0,0
463300,2021-10-31 00:04:47,文昌,0,,,,,,3,0,3,0,0
463500,2021-10-31 00:04:48,东方,0,,,,,,3,0,2,1,0
463600,2021-10-31 00:04:48,定安县,0,,,,,,3,0,2,1,0
C2020062112290711,2021-10-31 00:04:48,保亭,0,,,,,,3,0,3,0,0
464200,2021-10-31 00:04:48,乐东,0,,,,,,2,0,2,0,0
464500,2021-10-31 00:04:47,琼中县,0,,,,,,1,0,1,0,0
464000,2020-06-21 12:35:23,白沙黎族自治县,0,0.0,0.0,0.0,0.0,,0,0,0,0,0
464400,2020-06-21 12:36:22,保亭县,0,0.0,0.0,0.0,0.0,,0,0,0,0,0
464600,2020-06-21 12:36:17,西沙群岛,0,0.0,0.0,0.0,0.0,,0,0,0,0,0
924600,2020-06-26 00:00:30,未明确地区,0,,,,,,0,0,1,0,0
464800,2020-06-21 12:36:13,中沙群岛的岛礁及其海域,0,0.0,0.0,0.0,0.0,,0,0,0,0,0
463700,2020-06-21 12:36:09,屯昌县,0,0.0,0.0,0.0,0.0,,0,0,0,0,0
463000,2020-06-21 12:36:05,五指山,0,0.0,0.0,0.0,0.0,,0,0,0,0,0
464100,2020-06-21 12:36:02,昌江,0,0.0,0.0,0.0,0.0,,0,0,0,0,0
464300,2020-06-21 12:35:57,陵水,0,0.0,0.0,0.0,0.0,,0,0,0,0,0
464700,2020-06-21 12:35:51,南沙群岛,0,0.0,0.0,0.0,0.0,,0,0,0,0,0
95241,2020-06-21 12:34:52,境外输入人员,0,0.0,0.0,0.0,0.0,,0,0,0,0,0
