id,lastUpdateTime,name,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,total_confirm,total_suspect,total_heal,total_dead,total_severe
430100,2021-10-31 00:04:48,长沙,0,,,,,,247,0,242,2,0
430600,2021-10-31 00:04:47,岳阳,0,,,,,,156,0,155,1,0
430200,2021-10-31 00:04:48,株洲,0,,,,,,110,0,109,0,0
430500,2021-10-31 00:04:47,邵阳,0,,,,,,102,0,101,1,0
430700,2021-10-31 00:04:47,常德,0,,,,,,82,0,82,0,0
430800,2021-10-31 00:04:47,张家界,0,,,,,,77,0,77,0,0
431300,2021-10-31 00:04:47,娄底,0,,,,,,76,0,76,0,0
C202006211224111,2021-10-31 00:04:47,境外输入,0,,,,,,65,0,61,0,0
430900,2021-10-31 00:04:47,益阳,0,,,,,,63,0,63,0,0
430400,2021-10-31 00:04:47,衡阳,0,,,,,,48,0,48,0,0
431100,2021-10-31 00:04:47,永州,0,,,,,,44,0,44,0,0
431200,2021-10-31 00:04:48,怀化,0,,,,,,40,0,40,0,0
431000,2021-10-31 00:04:47,郴州,0,,,,,,39,0,39,0,0
430300,2021-10-31 00:04:47,湘潭,0,,,,,,38,0,38,0,0
433100,2021-10-31 00:04:47,湘西自治州,0,,,,,,10,0,10,0,0
9589,2020-06-21 12:26:03,境外输入人员,0,0.0,0.0,0.0,0.0,,0,0,0,0,0
924300,2021-10-31 00:04:48,未明确地区,0,,,,,,0,0,0,0,0
