id,lastUpdateTime,name,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,total_confirm,total_suspect,total_heal,total_dead,total_severe
C202006211349161,2021-10-31 00:04:47,境外输入,0,,,,,,108,0,108,0,0
620100,2021-10-31 09:39:57,兰州,4,,,,,,99,0,34,2,0
620500,2021-10-31 09:39:57,天水,5,,,,,,22,0,12,0,0
620700,2021-10-31 09:39:58,张掖,0,,,,,,17,0,2,0,0
621100,2021-10-31 00:04:48,定西,0,,,,,,9,0,9,0,0
620800,2021-10-31 00:04:47,平凉,0,,,,,,9,0,9,0,0
C202006211349162,2021-10-31 00:04:47,甘南州,0,,,,,,8,0,8,0,0
621200,2021-10-31 00:04:47,陇南,0,,,,,,6,0,4,0,0
620200,2021-10-31 00:04:47,嘉峪关,0,,,,,,5,0,0,0,0
620400,2021-10-31 00:04:47,白银,0,,,,,,4,0,4,0,0
622900,2021-10-31 00:04:48,临夏,0,,,,,,3,0,3,0,0
621000,2021-10-31 00:04:48,庆阳,0,,,,,,3,0,3,0,0
620300,2021-10-31 00:04:47,金昌,0,,,,,,1,0,1,0,0
926200,2021-10-31 00:04:47,未明确地区,0,,,,,,1,0,1,0,0
C202110280908281,2021-10-29 00:00:36,兰州新区,1,,,,,,1,0,0,0,0
620900,2020-06-21 13:59:16,酒泉,0,0.0,0.0,0.0,0.0,,0,0,0,0,0
620600,2020-06-21 13:59:05,武威,0,0.0,0.0,0.0,0.0,,0,0,0,0,0
9556,2020-06-21 13:58:57,境外输入人员,0,0.0,0.0,0.0,0.0,,0,0,0,0,0
623000,2020-06-21 13:58:51,甘南,0,0.0,0.0,0.0,0.0,,0,0,0,0,0
