id,lastUpdateTime,name,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,total_confirm,total_suspect,total_heal,total_dead,total_severe
C202006211119091,2021-10-31 09:39:57,境外输入,0,,,,,,535,0,515,0,0
350200,2021-10-31 00:04:47,厦门,0,,,,,,275,0,275,0,0
350300,2021-10-31 00:04:48,莆田,0,,,,,,261,0,261,0,0
350100,2021-10-31 00:04:48,福州,0,,,,,,72,0,71,1,0
350500,2021-10-31 00:04:48,泉州,0,,,,,,71,0,71,0,0
350900,2021-10-31 00:04:47,宁德,0,,,,,,26,0,26,0,0
350600,2021-10-31 00:04:48,漳州,0,,,,,,23,0,23,0,0
350700,2021-10-31 00:04:47,南平,0,,,,,,20,0,20,0,0
350400,2021-10-31 00:04:48,三明,0,,,,,,14,0,14,0,0
350800,2021-10-31 00:04:47,龙岩,0,,,,,,6,0,6,0,0
923500,2021-10-31 00:04:48,未明确地区,0,,,,,,0,0,0,0,0
9516216,2020-06-21 11:22:54,境外输入人员,0,0.0,0.0,0.0,0.0,,0,0,0,0,0
