id,lastUpdateTime,name,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,total_confirm,total_suspect,total_heal,total_dead,total_severe
520300,2021-10-31 00:04:48,遵义,0,,,,,,43,0,32,0,0
520100,2021-10-31 00:04:47,贵阳,0,,,,,,36,0,35,1,0
520500,2021-10-31 00:04:48,毕节,0,,,,,,23,0,23,0,0
522700,2021-10-31 00:04:48,黔南州,0,,,,,,17,0,17,0,0
522600,2021-10-31 00:04:48,黔东南州,0,,,,,,10,0,10,0,0
520200,2021-10-31 00:04:47,六盘水,0,,,,,,10,0,9,1,0
520600,2021-10-31 00:04:48,铜仁,0,,,,,,10,0,10,0,0
522300,2021-10-31 00:04:47,黔西南州,0,,,,,,4,0,4,0,0
520400,2021-10-31 00:04:47,安顺,0,,,,,,4,0,4,0,0
C2020062113241415,2021-10-31 00:04:48,境外输入,0,,,,,,1,0,1,0,0
9578,2020-06-21 13:33:26,境外输入人员,0,0.0,0.0,0.0,0.0,,0,0,0,0,0
925200,2020-06-21 13:33:31,未明确地区,0,0.0,0.0,0.0,0.0,,0,0,0,0,0
