id,lastUpdateTime,name,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,total_confirm,total_suspect,total_heal,total_dead,total_severe
210200,2021-10-31 00:04:47,大连,0,,,,,,162,0,162,0,0
C202006211449301,2021-10-31 09:39:56,境外输入,0,,,,,,136,0,129,0,0
210100,2021-10-31 00:04:48,沈阳,0,,,,,,78,0,78,0,0
210700,2021-10-31 00:04:48,锦州,0,,,,,,12,0,12,0,0
211400,2021-10-31 00:04:47,葫芦岛,0,,,,,,12,0,11,1,0
210800,2021-10-31 00:04:47,营口,0,,,,,,11,0,11,0,0
210600,2021-10-31 00:04:48,丹东,0,,,,,,11,0,11,0,0
211100,2021-10-31 00:04:48,盘锦,0,,,,,,11,0,11,0,0
210900,2021-10-31 00:04:48,阜新,0,,,,,,8,0,8,0,0
211200,2021-10-31 00:04:47,铁岭,0,,,,,,8,0,8,0,0
C202006211449313,2021-10-31 00:04:48,朝阳市,0,,,,,,6,0,5,1,0
210300,2021-10-31 00:04:47,鞍山,0,,,,,,4,0,4,0,0
210500,2021-10-31 00:04:47,本溪,0,,,,,,3,0,3,0,0
211000,2021-10-31 00:04:48,辽阳,0,,,,,,3,0,3,0,0
210400,2021-10-31 00:04:48,抚顺,0,,,,,,1,0,1,0,0
211300,2020-07-31 08:17:42,朝阳,0,,0.0,0.0,,,0,0,0,0,0
951662536,2020-07-31 08:17:42,境外输入人员,0,,0.0,0.0,,,0,0,0,0,0
922100,2021-10-31 00:04:47,未明确地区,0,,,,,,0,0,0,0,0
