id,lastUpdateTime,name,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,total_confirm,total_suspect,total_heal,total_dead,total_severe
C2020062113241419,2021-10-31 00:04:48,万州区,0,,,,,,118,0,114,4,0
C2020062113241410,2021-10-31 00:04:47,江北区,0,,,,,,28,0,28,0,0
C2020062113241418,2021-10-31 00:04:48,境外输入,0,,,,,,25,0,25,0,0
500135,2021-10-31 00:04:47,云阳县,0,,,,,,25,0,25,0,0
C2020062113241411,2021-10-31 00:04:47,綦江区,0,,,,,,23,0,23,0,0
C202006211324146,2021-10-31 00:04:47,合川区,0,,,,,,23,0,23,0,0
C2020062113241421,2021-10-31 00:04:48,长寿区,0,,,,,,22,0,22,0,0
500136,2021-10-31 00:04:48,奉节县,0,,,,,,22,0,22,0,0
500133,2021-10-31 00:04:47,忠县,0,,,,,,21,0,21,0,0
C202006211324148,2021-10-31 00:04:47,开州区,0,,,,,,21,0,20,1,0
C202006211324142,2021-10-31 00:04:47,九龙坡区,0,,,,,,21,0,20,1,0
C2020062113241420,2021-10-31 00:04:48,渝中区,0,,,,,,20,0,20,0,0
500131,2021-10-31 00:04:47,垫江县,0,,,,,,20,0,20,0,0
500123,2021-10-31 00:04:47,潼南区,0,,,,,,18,0,18,0,0
C2020062113241417,2021-10-31 00:04:48,渝北区,0,,,,,,17,0,17,0,0
95788,2021-10-31 00:04:47,两江新区,0,,,,,,17,0,17,0,0
500140,2021-10-31 00:04:47,石柱县,0,,,,,,15,0,15,0,0
C202006211324144,2021-10-31 00:04:47,南岸区,0,,,,,,15,0,15,0,0
500138,2021-10-31 00:04:48,巫溪县,0,,,,,,14,0,14,0,0
C202006211324149,2021-10-31 00:04:47,大足区,0,,,,,,14,0,14,0,0
500130,2021-10-31 00:04:47,丰都县,0,,,,,,10,0,10,0,0
500124,2021-10-31 00:04:48,铜梁区,0,,,,,,10,0,10,0,0
500137,2021-10-31 00:04:48,巫山县,0,,,,,,10,0,10,0,0
500127,2021-10-31 00:04:47,璧山区,0,,,,,,9,0,9,0,0
500126,2021-10-31 00:04:47,荣昌区,0,,,,,,9,0,9,0,0
C202006211324147,2021-10-31 00:04:47,沙坪坝区,0,,,,,,9,0,9,0,0
500104,2021-10-31 00:04:48,大渡口区,0,,,,,,7,0,7,0,0
C2020062113241413,2021-10-31 00:04:47,江津区,0,,,,,,6,0,6,0,0
C2020062113241414,2021-10-31 00:04:47,巴南区,0,,,,,,6,0,6,0,0
C202006211324143,2021-10-31 00:04:47,涪陵区,0,,,,,,5,0,5,0,0
C202006211324141,2021-10-31 00:04:47,永川区,0,,,,,,5,0,5,0,0
500128,2021-10-31 00:04:47,梁平区,0,,,,,,4,0,4,0,0
500121,2021-10-31 00:04:48,高新区,0,,,,,,4,0,4,0,0
C2020062113241422,2021-10-31 00:04:48,黔江区,0,,,,,,2,0,2,0,0
500129,2021-10-31 00:04:48,城口县,0,,,,,,2,0,2,0,0
500143,2021-10-31 00:04:48,彭水县,0,,,,,,2,0,2,0,0
500132,2021-10-31 00:04:47,武隆区,0,,,,,,1,0,1,0,0
500120,2021-10-31 00:04:48,万盛经开区,0,,,,,,1,0,1,0,0
500142,2021-10-31 00:04:47,酉阳县,0,,,,,,1,0,1,0,0
500141,2021-10-31 00:04:47,秀山县,0,,,,,,1,0,1,0,0
925000,2020-07-22 07:50:03,未明确地区,0,,0.0,0.0,,,0,0,0,0,0
95987,2020-07-22 07:50:03,开州,0,,0.0,0.0,,,0,0,0,0,0
9512617861,2020-07-22 07:50:03,境外输入人员,0,,0.0,0.0,,,0,0,0,0,0
500134,2020-07-22 07:50:03,开县,0,,0.0,0.0,,,0,0,0,0,0
500118,2020-07-22 07:50:03,永川,0,,0.0,0.0,,,0,0,0,0,0
500117,2020-07-22 07:50:03,合川,0,,0.0,0.0,,,0,0,0,0,0
500116,2020-07-22 07:50:03,江津,0,,0.0,0.0,,,0,0,0,0,0
500115,2020-07-22 07:50:03,长寿,0,,0.0,0.0,,,0,0,0,0,0
500119,2020-07-22 07:50:03,南川,0,,0.0,0.0,,,0,0,0,0,0
500107,2020-07-22 07:50:03,九龙坡,0,,0.0,0.0,,,0,0,0,0,0
500106,2020-07-22 07:50:03,沙坪坝,0,,0.0,0.0,,,0,0,0,0,0
500105,2020-07-22 07:50:03,江北,0,,0.0,0.0,,,0,0,0,0,0
500109,2020-07-22 07:50:03,北碚,0,,0.0,0.0,,,0,0,0,0,0
500108,2020-07-22 07:50:03,南岸,0,,0.0,0.0,,,0,0,0,0,0
500110,2020-07-22 07:50:03,綦江,0,,0.0,0.0,,,0,0,0,0,0
500114,2020-07-22 07:50:03,黔江,0,,0.0,0.0,,,0,0,0,0,0
500113,2020-07-22 07:50:03,巴南,0,,0.0,0.0,,,0,0,0,0,0
500112,2020-07-22 07:50:03,渝北,0,,0.0,0.0,,,0,0,0,0,0
500111,2020-07-22 07:50:03,大足,0,,0.0,0.0,,,0,0,0,0,0
500103,2020-07-22 07:50:03,渝中,0,,0.0,0.0,,,0,0,0,0,0
500102,2020-07-22 07:50:03,涪陵,0,,0.0,0.0,,,0,0,0,0,0
500101,2020-07-22 07:50:03,万州,0,,0.0,0.0,,,0,0,0,0,0
