id,lastUpdateTime,name,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,total_confirm,total_suspect,total_heal,total_dead,total_severe
C202006211334183,2021-10-31 00:04:47,境外输入,0,,,,,,435,0,427,0,0
C202102191015131,2021-02-20 00:00:37,本土病例,0,,,,,,247,0,244,0,0
610100,2021-10-31 00:04:48,西安,0,,,,,,135,0,119,3,0
610700,2021-10-31 00:04:48,汉中,0,,,,,,26,0,26,0,0
610900,2021-10-31 00:04:47,安康,0,,,,,,26,0,26,0,0
610400,2021-10-31 00:04:47,咸阳,0,,,,,,17,0,17,0,0
610500,2021-10-31 00:04:48,渭南,0,,,,,,17,0,17,0,0
610300,2021-10-31 00:04:48,宝鸡,0,,,,,,13,0,13,0,0
610200,2021-10-31 00:04:47,铜川,0,,,,,,8,0,8,0,0
610600,2021-10-31 00:04:47,延安,0,,,,,,8,0,8,0,0
611000,2021-10-31 00:04:47,商洛,0,,,,,,7,0,7,0,0
610800,2021-10-31 00:04:48,榆林,0,,,,,,3,0,3,0,0
C202006211334184,2021-10-31 00:04:47,韩城,0,,,,,,1,0,1,0,0
C202006211334185,2021-10-31 00:04:48,杨凌,0,,,,,,1,0,1,0,0
926100,2021-10-31 00:04:47,未明确地区,0,,,,,,0,0,0,0,0
955555,2020-09-13 08:26:38,杨凌示范区,0,,0.0,0.0,,,0,0,0,0,0
95556,2020-09-13 08:26:38,韩城市,0,,0.0,0.0,,,0,0,0,0,0
9511213,2020-09-13 08:26:38,境外输入人员,0,,0.0,0.0,,,0,0,0,0,0
