id,lastUpdateTime,name,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,total_confirm,total_suspect,total_heal,total_dead,total_severe
231200,2021-10-31 00:04:47,绥化,0,,,,,,537,0,533,4,0
230100,2021-10-31 00:04:47,哈尔滨,1,,,,,,499,0,494,4,0
C202006211504252,2021-10-31 00:04:47,境外输入,0,,,,,,404,0,402,0,0
231100,2021-10-31 09:39:57,黑河,18,,,,,,78,0,24,0,0
230500,2021-10-31 00:04:48,双鸭山,0,,,,,,52,0,49,3,0
230300,2021-10-31 00:04:48,鸡西,0,,,,,,46,0,46,0,0
230200,2021-10-31 00:04:48,齐齐哈尔,0,,,,,,44,0,43,1,0
C202101132211321,2021-01-14 00:00:36,待确认,40,,,,,,40,0,0,0,0
231000,2021-10-31 00:04:47,牡丹江,0,,,,,,36,0,36,0,0
230600,2021-10-31 00:04:48,大庆,0,,,,,,29,0,28,1,0
230900,2021-10-31 00:04:48,七台河,0,,,,,,17,0,17,0,0
230800,2021-10-31 00:04:47,佳木斯,0,,,,,,15,0,15,0,0
230400,2021-10-31 00:04:48,鹤岗,0,,,,,,5,0,5,0,0
232700,2021-10-31 00:04:48,大兴安岭,0,,,,,,3,0,3,0,0
922300,2021-10-31 00:04:47,未明确地区,0,,,,,,2,0,2,0,0
230700,2021-10-31 00:04:47,伊春,0,,,,,,1,0,1,0,0
95131425,2020-06-21 15:27:07,境外输入人员,0,0.0,0.0,0.0,0.0,,0,0,0,0,0
